instance_id,ox-alpha,gemini-37-flash-high,qwen-38-max
django__django-17087,resolved,resolved,resolved
matplotlib__matplotlib-26208,unresolved,unresolved,unresolved
sphinx-doc__sphinx-9320,resolved,resolved,resolved
pydata__xarray-7233,resolved,resolved,resolved
pytest-dev__pytest-7432,resolved,resolved,resolved
sympy__sympy-18211,resolved,unresolved,resolved
psf__requests-5414,resolved,resolved,resolved
astropy__astropy-7606,resolved,resolved,resolved
pylint-dev__pylint-4604,unresolved,unresolved,unresolved
scikit-learn__scikit-learn-13124,resolved,resolved,resolved
django__django-16502,unresolved,unresolved,unresolved
matplotlib__matplotlib-25122,resolved,resolved,resolved
sphinx-doc__sphinx-7748,unresolved,unresolved,unresolved
pydata__xarray-6461,unresolved,unresolved,resolved
pytest-dev__pytest-7236,resolved,resolved,resolved
sympy__sympy-13877,resolved,resolved,resolved
psf__requests-1766,unresolved,resolved,resolved
astropy__astropy-7671,resolved,resolved,resolved
pylint-dev__pylint-4661,unresolved,unresolved,unresolved
scikit-learn__scikit-learn-10297,resolved,resolved,resolved
